id	en	ms
364	Well, you might say, hey, gee, none of these ends or these chords that define this angle, neither of these are diameters, but what we can do is we can draw a diameter	Baiklah, anda mungkin katakan, hey, gee, tiada satu pun berakhir atau kord ini yang menentukan sudut ini, tiada satu pun diameter tetapi apa yang kta boleh lakukan ialah kita boleh lukis satu diameter
365	Before the next day three other servants were dead and others had run away in terror	Sebelum hari berikutnya tiga pekhidmat lain yang telah mati dan lain-lain telah melarikan diri dalam keganasan
366	And they could all sit and work together on those problems	Dan mereka semua boleh sama-sama berbincang mengenai masalah itu
367	The robin spread his wings--Mary could scarcely believe her eyes	Robin menyebarkan sayap - Mary hampir tidak percaya matanya
368	Who can cause a bigger earthquake than you	Siapa lagi yang boleh menyebabkan gempa bumi selain awak
369	She will not be up, so that we shall have a clear field	Dia tidak akan sampai, sehingga kita mesti mempunyai yang jelas lapangan
370	He managed to do this easily, and in spite of its width and weight his body mass at last slowly followed the turning of his head	Dia berjaya melakukan perkara ini dengan mudah, dan walaupun lebar dan berat badan besar-besaran itu di terakhir diikuti perlahan-lahan beralih kepalanya
371	I took your mom in that car and we sped all around the city	Ayah tumpangkan Ibu kamu dalam kereta itulah. Kami pusing satu bandar
372	Find the equation of a line perpendicular to this line that passes through the point 2 comma 8	Cari persamaan untuk garis yang serenjang kepada garis ini, yang melalui titik 2 koma 8
373	But we have to be careful because malaria -- the parasite evolves and the mosquito evolves	Tetapi kita harus berhati-hati kerana malaria - parasit itu membiak dan nyamuk juga membiak
374	My bricks, being second-hand ones, required to be cleaned with a trowel, so that I learned more than usual of the qualities of bricks and trowels	Bata saya, kedua-tangan yang diperlukan untuk dibersihkan dengan kulir, supaya saya belajar lebih banyak daripada biasa kualiti batu dan trowels
375	Then I, rather imprudently, wished you good-night, and started for the Temple to see my husband	Lalu aku, agak imprudently, berharap anda selamat malam, dan mula untuk Bait untuk lihat suami saya
376	So eleven times eleven is going to be eleven more than eleven times ten	Jadi 11 x 11 akan jadi lebih daripada 11 x 10
377	Hotel des Invalides, I do not know; but I thought that his industry would not be worth much thereafter	Hotel des Invalides, saya tidak tahu, tetapi saya fikir bahawa industri itu tidak akan bernilai lebih selepas itu
378	"Are there ever any roses?"" ""Ask him,"" said Ben Weatherstaff, hunching his shoulders toward the robin"	"Adakah pernah mana-mana mawar? "" Tanya dia, ""kata Ben Weatherstaff, hunching beliau bahu ke arah robin"
379	There isn't a wind today, so you see it couldn't have been the wind	Terdapat isn'ta angin hari ini, jadi anda lihat, ia tidak dapat telah angin
380	By clicking on the links on the right hand side, or take a look at my youtube channel page	Dengan klik pada pautan di sebelah kanan, atau mengambil lihat pada halaman saluran youtube saya
381	"A few years before I lived in the woods there was what was called a ""winged cat"" in one of the farm-houses in Lincoln nearest the pond, Mr. Gilian Baker's"	"Beberapa tahun sebelum saya tinggal di hutan ada apa yang dipanggil ""kucing bersayap"" salah satu daripada rumah-rumah ladang di Lincoln yang terdekat kolam, En. Gilian Baker"
382	She ran only to make herself warm, and she hated the wind which rushed at her face and roared and held her back as if it were some giant she could not see	Dia berlari hanya untuk membuat dirinya panas, dan dia membenci angin yang bergegas di mukanya dan mengaum penuh semangat dan diadakan dia kembali seolah-olah ia beberapa gergasi dia tidak dapat melihat
383	She looked an ugly, cross little thing and was frowning because she was beginning to be hungry and feel disgracefully neglected	Dia kelihatan hodoh, perkara yang merentas dan frowning kerana dia sudah mulai lapar dan berasa memalukan diabaikan
384	So the y-intercept, this point right over here, this is where the line intersects with the y-axis	Jadi pintasan y, titik di sini, ini ialah di mana titik bersilang dengan paksi y
385	Please check any or all of those that apply	Sila tanda mana-mana atau semua kotak yang benar
386	So if you want to figure out the 100th term of this sequence, I didn't even have to write it in this general term, you can just look at this pattern	Kalau anda ingin mencari sebutan ke-100 dalam urutan ini, saya tidak perlu menulis ini dalam bentuk sebutan umum, anda hanya lihat bentuk ini
387	You can't just kill someone for what they like	Awak tak boleh senang-senang bunuh orang untuk apa yang dia suka
388	And yet, if you had a discriminating ear, there were in it the elements of a concord such as these plains never saw nor heard	Namun, jika anda mempunyai telinga yang membezakan, terdapat di dalamnya unsur-unsur satu kerukunan seperti ini dataran tidak pernah melihat atau mendengar
389	So when you really think about it, these are the more successful organisms. If a comet were to hit the Earth	Jadi, jika anda fikirkan bakteria adalah organisma yang lebih berjaya berbanding kita
390	So there's a couple of times when you know that a triangle is similar, is if the ratio of all the sides are equal	Maka selalunya kita tahu bahawa apabila segitiga itu adalah serupa jika nisbah sisi-sisinya adalah sama. Cuba fikirkan kembali
391	So we take the denominator-- is 2-- and we're going to divide that into the numerator, 1	Jadi kita ambil penyebutbya -- iaitu 2 -- dan pengangkanya, 1, akan dibahagikan dengan 2 ini
392	We could add twelve to itself eleven times	Kita boleh tambah 12 pada ia 11 kali
393	For example, you have frequently seen the steps which lead up from the hall to this room	Sebagai contoh, anda sudah sering melihat langkah yang mengarah naik dari lorong ini bilik
394	So inductive reasoning has a lot to do with patterns	Oleh itu, taakulan induktif berkait rapat dengan corak-corak perubahan
395	"An' th' woman in th' shop threw in a packet o' white poppy an' one o' blue larkspur when I bought th' other seeds."" ""Will you show the seeds to me"	"Wanita dalam satu 'ke' th 'kedai mencampakkan dalam paket o' poppy putih 'satu o' biru Larkspur apabila saya membeli benih th 'lain. "" Adakah anda akan menunjukkan benih kepada saya"
396	There are fairly effective teachers in a narrow set of places	Terdapat guru-guru yang berkesan di tempat-tempat yang terhad
397	The snow had already covered the ground since the 25th of November, and surrounded me suddenly with the scenery of winter	Salji telah dilindungi tanah sejak 25 November, dan dikelilingi saya tiba-tiba dengan pemandangan musim sejuk
398	Let me erase this to make it kind of neater drawing	Biar saya padamkan bahagian ini agar ia kelihatan kemas
399	Ah, you punk, you're going to keep on doing that, huh	Ah, sialan, awak nk terus macam nie, huh
400	Nowadays the host does not admit you to his hearth, but has got the mason to build one for yourself somewhere in his alley, and hospitality is the art of keeping you at the greatest distance	Kini tuan rumah tidak memasukkan kamu ke perapian, tetapi mempunyai tukang batu untuk membina satu untuk diri sendiri di suatu tempat di lorong itu, dan hospitaliti seni menjaga anda di jarak yang paling besar
401	My mother died in [a] gynecology complication, so I decided to become a gynecology specialist	Ibu saya meninggal disebabkan komplikasi sakit puan, jadi saya ambil keputusan menjadi seorang pakar sakit puan
402	What I'm going to prove in this video is that psi is always going to be equal to 1/2 of theta	Apa yang saya akan buktikan dalam video ini ialah psi selalu akan menjadi bersamaan dengan 1/2 theta
403	But this is a funny house for all it's so grand	Tetapi ini adalah sebuah rumah yang lucu untuk semua begitu besar-besaran
404	He walks over to Thwaite many a day just for th' fun of it	Dia berjalan ke Thwaite hari yang banyak hanya untuk suka-suka th
405	And then finally, to get this element we're essentially multiplying this row times this column, so it's 7 times 2 is 14, plus 8 times 4, plus 32	Dan akhirnya, untuk mendapatkan elemen ini kami dasarnya mendarabkan ini kali berturut-turut ruangan ini, jadi 7 kali 2 ialah 14, termasuk 8 kali 4, ditambah 32
406	So it's 7 times 1 plus 8 times 3	Jadi, 7 kali 1 ditambah dengan 8 kali 3
407	The cholera had broken out in its most fatal form and people were dying like flies	Taun telah dipecahkan dalam bentuk yang paling maut dan orang-orang yang telah mati seperti lalat
408	Oh Ha Ni, you are now in study mode	Oh Ha Ni, Awak sekarang dalam rasa untuk belajar
409	"This ring--"" He slipped an emerald snake ring from his finger and held it out upon the palm of his hand"	"Ini cincin - ""Dia menyelitkan sebuah zamrud ular cincin dari jarinya dan mengulurkannya pada telapak tangannya"
410	Mary, a new idea taking possession of her	Mary, satu idea baru yang mengambil milikan tentang dia
411	"He was a sour young man and got no good of all his money and big place till he was married."" Mary's eyes turned toward her in spite of her intention not to seem to care"	"Dia adalah seorang lelaki muda yang masam dan menjadi tidak baik wang dan tempat yang besar sehingga dia berkahwin. ""mata Mary berpaling ke arahnya walaupun niat tidak kelihatan untuk menjaga"
412	Now, this wasn't the case, so that isn't there and so we know that the height of Stewart is 5-11 and this is a functional relationship	Jadi, kita tahu ketinggian Stewart adalah 5kaki 11 dan inilah hubungan berfungsi
413	It's also a good way to keep up with the latest with what's going on with the series	Ia merupakan cara baik unutk mengemas kini dengan maklumat baharu dengan perkembangan series ini
414	The name of the maker, no doubt; or his monogram, rather	Nama pembuat, tidak diragukan lagi, atau nya monogram, agak
415	When I was a little girl, my grandfather took me to sit outside in the sun on a hot summer day	Semasa saya kecil, datuk saya bawa saya keluar dan duduk di bawah matahari pada suatu hari yang panas
416	Yet I passed some cheerful evenings in that cool and airy apartment, surrounded by the rough brown boards full of knots, and rafters with the bark on high overhead	Namun saya lulus beberapa malam ceria di apartmen yang sejuk dan lapang, dikelilingi oleh papan coklat kasar penuh knot, dan kasau dengan menyalak pada overhead tinggi
417	You would still step forward despite being rejected by Baek Seung Jo over and over again	Awak tak akan terus melangkah dengan di kecewakan oleh Baek Seung Jo lagi dan lagi
418	The old gardener pushed his cap back on his bald head and stared at her a minute	Tukang kebun lama menolak topinya di kepala botak dan merenung minit seorang
419	It really seemed as if he were finding out all about her	Ia benar-benar kelihatan seolah-olah dia sedang mencari semua tentang dirinya
420	It must mean that hollow shuddering sort of roar which rushed round and round the house as if the giant no one could see were buffeting it and beating at the walls and windows to try to break in	Ia mesti bermakna bahawa jenis shuddering berongga suara meraung yang bergegas pusingan dan mengelilingi rumah seolah-olah gergasi tiada siapa yang dapat melihat buffeting ia dan menewaskan di dinding dan tingkap untuk mencuba untuk memecahkan
421	Finebros) And what about people who might be watching that are either in a bad situation and they are openly gay or they've not come out and are too afraid to come out	lelaki di luar skrin] Dan apa yang awak nak cakap pada orang yang sedang menonton sama ada mereka berada dalam situasi yang buruk atau mereka telah mengaku mereka gay atau mereka masih belum mengaku dan terlalu takut untuk mengaku
422	The father and mother, one on each side, followed attentively the movements of her hands	Ibu dan ayah, satu di setiap sebelah, diikuti dengan teliti pergerakan suami tangan
423	But I was more than a match for him on the surface	Tetapi saya lebih daripada perlawanan untuknya pada permukaan
424	Now, Gregor had no practice at all in going backwards--it was really very slow going	Sekarang, Gregor mempunyai amalan tidak sama sekali akan ke belakang - ia benar-benar sangat lambat pergi
425	It's not like you can somehow eliminate them. And even more, it's not like you even want to eliminate them	Dan kita tidak boleh singkirkan bakteria, ataupun kita bukannya mahu menyingkirkan mereka
426	She knew that she was not going to stay at the English clergyman's house where she was taken at first	Dia tahu bahawa dia tidak akan tinggal di rumah paderi Bahasa Inggeris di mana dia diambil pada mulanya
427	And we know that psi 2 is going to be 1/2 theta 2	Dan kita tahu psi 2 akan menjadi 1/2 theta 2
428	And bacteria replicate so quickly, they reproduce so quickly that even if you have a mutation that's one in every thousand times, by the time you have a million bacteria, you'll have a thousand mutations	Dan bakteria membiak dengan cepat, dan disebabkan ini, jika ada mutasi dalam 1 dari 1,000 bakteria, maka, dari sejuta bakteria, akan ada 1,000 mutasi
429	And we know that when you're just adding a bunch of numbers, it doesn't matter what order you do it in, so you can swap the order	Dan, kita tahu, Apabila awak tambah sekumpulan nombor Ianya tidak kisah dalam kedudukan yang macam mana sekalipun
430	Not only had they earned this break from work, but there was no question that they really needed it	Bukan sahaja mereka usahakan ini berehat dari kerja, tetapi ada soalan yang mereka benar-benar memerlukannya
431	If our children was at this table they'd clean it bare in five minutes	Jika anak-anak kita berada di meja ini, mereka hendak membersihkan ia terdedah dalam masa lima minit
432	That's how many he sells in three days	Itu adalah jumlah yang beliau jual dalam masa tiga hari
433	He was already in the hall, and given the sudden movement with which he finally pulled his foot out of the living room, one could have believed that he had just burned the sole of his foot	Dia sudah di dalam dewan, dan diberikan pergerakan yang secara tiba-tiba dia akhirnya menarik kakinya keluar dari ruang tamu, seseorang itu boleh dipercayai bahawa beliau baru sahaja dibakar semata-mata kakinya
434	I was wondering who it was. It's Gi Tae Sunbae	Saya tengok siapa ini, Ianya Gi Tae Sunbae
435	You only need sit still long enough in some attractive spot in the woods that all its inhabitants may exhibit themselves to you by turns	Anda hanya perlu duduk diam cukup lama di beberapa tempat menarik di dalam hutan bahawa semua penduduk boleh mempamerkan diri mereka kepada anda dengan giliran
436	Is it some ill-fed village hound yielding to the instinct of the chase? or the lost pig which is said to be in these woods, whose tracks I saw after the rain	Adakah beberapa orang buruk buruk makan kampung menghasilkan naluri yang mengejar? atau hilang babi yang dikatakan dalam hutan, di mana trek yang saya lihat selepas hujan
437	If this square root exists, and if the positive and negative-- and if it's not 0, you're going to have two solutions	Jika punca kuasa dua ini wujud, dan jika positif dan negatif-- dan jika ia bukan 0, anda mempunyai 2 kaedah
438	But hopefully from this video you understand that all it is is just a different way of keeping track of where the ones, tens, and hundreds place are	Tetapi diharapkan dari video ini anda memahami bahawa semua itu adalah hanya cara yang berbeza memantau di mana yang, berpuluh-puluh dan beratus-ratus tempat
439	Don't you be a meddlesome wench an' poke your nose where it's no cause to go	Jangan anda menjadi gadis meddlesome 'mencucuk hidung anda di mana ia tidak menyebabkan pergi
440	In a camp with 90,000 people, you have to come up with some rules or there is going to be some fights	Dalam kem yang mempunyai 90,000 orang, kami perlu ada beberapa peraturan, kalau tidak pergaduhan akan berlaku
441	"Said their apostles: ""Can there be doubt about God, the originator of the heavens and the earth"	"Rasul-rasul mereka bertanya: ""Patutkah berlakunya sebarang keraguan tentang wujudnya Allah, yang menciptakan langit dan bumi"
442	"They said: ""If you do not desist, O Noah, you will be stoned to death"	"Mereka (mengugut dengan) berkata: ""Jika engkau tidak mahu berhenti (daripada menyiarkan ugamamu itu) wahai Nuh, sudah tentu engkau akan menjadi dari orang-orang yang direjam"
443	Blessed be He who, if He pleased, could give you better than that, -- gardens with rivers flowing by; and make palaces for you	Maha Berkat Tuhan yang jika Ia kehendaki tentulah Ia akan mengadakan untukmu (di dunia ini) sesuatu yang lebih baik dari apa yang mereka katakan itu, iaitu syurga-syurga yang mengalir di bawahnya beberapa sungai, serta mengadakan untukmu istana-istana (yang tersergam indah
444	But those who earn evil shall be punished to an equal degree as their evil, and they will be covered with shame, and will have none to protect them against God: Their faces shall be blackened as though with patches of the night	Dan untuk orang-orang yang melakukan kejahatan (syirik dan maksiat), balasan tiap-tiap satu kejahatan mereka ialah kejahatan yang sebanding dengannya serta akan ditimpakan kehinaan; tiadalah bagi mereka pelindung dari (seksa) Allah; muka mereka (hitam legam) seolah-olahnya ditutup dengan beberapa bahagian (yang gelap-gelita) dari malam yang gelap-gelita
445	The palsy of death will surely come. This is what you wished to avert	"Dan (apabila sampai ajal seseorang) datanglah ""Sakaratulmuat"" membawa kebenaran (yang telah dijanjikan, serta dikatakan kepada yang mengingkarinya sebelum itu): ""Inilah perkara yang engkau selalu mengelak diri daripadanya"
446	Allah’s mercy and His blessings be upon you, O people of this house; indeed He only is Most Praiseworthy, Most Honourable	Memanglah rahmat Allah dan berkatNya melimpah-limpah kepada kamu, wahai ahli rumah ini. Sesungguhnya Allah Maha terpuji, lagi Maha Melimpah kebaikan dan kemurahanNya
447	We have given the right (of redress) to the heir of the person who is killed, but he should not exceed the limits (of justice) by slaying (the killer), for he will be judged (by the same law	Dan sesiapa yang dibunuh secara zalim, maka sesungguhnya Kami telah menjadikan warisannya berkuasa menuntut balas. Dalam pada itu, janganlah ia melampau dalam menuntut balas bunuh itu, kerana sesungguhnya ia adalah mendapat sepenuh-penuh pertolongan (menurut hukum Syarak
448	"They asked (on return): ""Who has done this to our gods"	"Setelah melihat kejadian itu) mereka bertanya: ""Siapakah yang melakukan perbuatan yang demikian terhadap tuhan-tuhan kami"
449	It is not given to man that God should speak to him except by suggestion or indirectly, or send a messenger to convey by His command whatsoever He please	Dan tidaklah layak bagi seseorang manusia bahawa Allah berkata-kata dengannya kecuali dengan jalan wahyu (dengan diberi ilham atau mimpi), atau dari sebalik dinding (dengan mendengar suara sahaja), atau dengan mengutuskan utusan (malaikat) lalu utusan itu menyampaikan wahyu kepadanya dengan izin Allah akan apa yang dikehendakiNya
450	"The prophet will say: ""O my Lord, my people had fettered the Qur'an"	"Dan berkatalah Rasul: ""Wahai Tuhanku sesungguhnya kaumku telah menjadikan Al-Quran ini satu perlembagaan yang ditinggalkan, tidak dipakai"
451	He ushers in the dawn, and made the night for rest, the sun and moon a computation	Allah jualah Yang membelah cahaya subuh (yang menyingsingkan fajar), dan yang menjadikan malam untuk tinggal berehat, dan menjadikan matahari dan bulan untuk mengira waktu (menurut peredarannya
452	"They said: ""You are only men like us, and yet you wish to turn us away from what our fathers worshipped"	"Mereka menjawab: ""Kamu tidak lain hanyalah manusia seperti kami. Kamu bertujuan hendak menyekat kami daripada menyembah apa yang telah disembah oleh datuk nenek kami"
453	"Their minds are lost in frivolous pastimes; and the evil-doers discuss secretly: ""Is he not but only a man like you"	"Dengan keadaan hati mereka leka daripada memahami dan mengamalkan maksudnya. Dan orang-orang yang zalim itu, berbisik-bisik sesama sendiri dengan berkata: ""Bukankah (Muhammad) ini hanyalah seorang manusia biasa seperti kamu"
454	And bestowed on him his brother Aaron, a prophet, through Our benevolence	Dan Kami kurniakan kepadanya dari rahmat Kami, saudaranya: Harun, yang juga berpangkat Nabi
455	Yet they say that God has begotten a son	"Dan mereka (orang-orang musyrik) berkata: ""Allah mempunyai anak"
456	Your God is one God; there is no god other than He, the compassionate, ever-merciful	Dan Tuhan kamu ialah Tuhan yang Maha Esa; tiada Tuhan (Yang berhak disembah) selain dari Allah, yang Maha Pemurah, lagi Maha Mengasihani
457	"They will answer: ""We profess to You not one of us can vouch for them"	"Mereka menjawab: ""Kami mengakui kepadaMu (wahai Tuhan kami), bahawa tidak ada di antara kami seorang pun yang mahu menjadi saksi (kerana anggapan kami dahulu telah nyata salahnya"
458	If God wills we shall be guided aright	Kerana sesungguhnya lembu yang dikehendaki itu kesamaran kepada kami (susah kami memilihnya), dan kami insya Allah akan mendapat petunjuk (untuk mencari dan menyembelih lembu itu
459	To each of you We have given a law and a way and a pattern of life	Bagi tiap-tiap umat yang ada di antara kamu, Kami jadikan (tetapkan) suatu Syariat dan jalan ugama (yang wajib diikuti oleh masing-masing
460	"O my people, he said, ""worship God; you have no other god but He"	Sembahlah kamu akan Allah! Sebenarnya tiada Tuhan bagi kamu selain daripadaNya
461	Neither does a female conceive nor gives birth without His knowledge; nor do the old grow older or become younger in years but in accordance with the law (of nature	Dan tiada mengandung seseorang perempuan (juga seekor betina), dan tidak pula satu-satunya melahirkan (anak yang dikandungnya) melainkan dengan keadaan yang diketahui Allah. Dan tidak diberikan seseorang berumur panjang, juga tidak dijadikan seseorang pendek umurnya, melainkan ada kadarnya di dalam Kitab Ilahi
462	But when they turned aside God made their hearts turn farther away; for God does not show the transgressors the way	Maka ketika mereka menyeleweng (dari kebenaran yang mereka sedia mengetahuinya), Allah selewengkan hati mereka (dari mendapat hidayah petunjuk); dan sememangnya Allah tidak memberi hidayah petunjuk kepada kaum yang fasik - derhaka
463	We have destroyed the likes of you in the past: So is there any one who will be warned	Dan demi sesungguhnya! Kami telah binasakan orang-orang yang sama keadaannya seperti kamu; maka adakah sesiapa yang mahu mengambil peringatan dan pelajaran
464	So when they returned to their father, they said, “O our father	"Maka ketika mereka kembali kepada bapa mereka, berkatalah mereka: ""Wahai ayah kami"
465	So you persevere with patience (in your mission). The promise of God is true. Whether We show you some of the punishment We have promised them, or gather you up in death, they have to come back to Us	Maka bersabarlah (wahai Muhammad), sesungguhnya janji Allah (menyeksa musuh-musuhmu itu) adalah benar; oleh itu kiranya Kami perlihatkan kepadamu sebahagian dari azab yang Kami janjikan kepada mereka, ataupun Kami wafatkanmu sebelum itu, (maka tetaplah mereka akan menerima balasan azab) kerana kepada Kamilah mereka akan dikembalikan
466	And establish you in their place. This is for him who fears My station, and dreads My commination	Dan demi sesungguhnya! kami akan tempatkan kamu di negeri itu sesudah binasanya kaum yang zalim itu; balasan baik yang demikian, adalah bagi orang-orang yang takut akan sikap keadilanKu (menghitung amalnya), dan takut akan janji-janji azabKu
467	God has verily bought the souls and possessions of the faithful in exchange for a promise of Paradise. They fight in the cause of God, and kill and are killed	Sesungguhnya Allah telah membeli dari orang-orang yang beriman akan jiwa mereka dan harta benda mereka dengan (balasan) bahawa mereka akan beroleh Syurga, (disebabkan) mereka berjuang pada jalan Allah maka (di antara) mereka ada yang membunuh dan terbunuh
468	"And said: ""Have you come to us, O Moses, to drive us out of our land with your witchery"	"Firaun berkata: ""Patutkah engkau datang kepada kami untuk mengeluarkan kami dari negeri kami dengan sihirmu, hai Musa"
469	"Above them will be a covering of fire, below them a cloud (of flames). With this does God warn His creatures: ""O My creatures, fear Me"	"Bagi mereka (yang kafir disediakan lapisan-lapisan dari api menyerkup di atas mereka, dan lapisan-lapisan (dari api) di bawah mereka; dengan (azab) yang demikian, Allah menakutkan hamba-hambaNya: ""Oleh itu, bertaqwalah kepadaKu wahai hamba-hambaKu"
470	SENT NOAH to his people to warn them before the painful punishment came upon them	"Sesungguhnya Kami telah mengutus Nabi Nuh kepada kaumnya, (dengan berfirman kepadanya): ""Berikanlah peringatan dan amaran kepada kaummu sebelum mereka didatangi azab yang tidak terperi sakitnya"
471	Remember Our votaries Abraham, Isaac and Jacob, men of power and insight	Dan (ingatkanlah peristiwa) hamba-hamba Kami: Nabi Ibrahim dan Nabi Ishak serta Nabi Yaakub, yang mempunyai kekuatan (melaksanakan taat setianya) dan pandangan yang mendalam (memahami ugamanya
472	Those who denied and turned away from the path of God, have wandered far astray	Sesungguhnya orang-orang yang kafir serta menghalang orang-orang lain dari jalan Allah (ugama Islam), sebenarnya mereka telah sesat dengan kesesatan yang amat jauh
473	Leave her free to graze upon God's earth, and do not molest her lest a grievous punishment should befall you	Oleh itu, biarkanlah unta itu mencari makan di bumi Allah, dan janganlah kamu menyentuhnya dengan sesuatu yang menyakitinya; (kalau kamu menyentuhnya) maka kamu akan ditimpa azab seksa yang tidak terperi sakitnya
474	"Moses) said: ""O Lord, if You had so pleased You could have annihilated them and me before this"	Jika Engkau kehendaki, Engkau boleh binasakan mereka bersama-sama denganku sebelum ini
475	"He prayed: ""O Lord, verily my people accuse me of lies"	"Nabi Nuh berdoa dengan berkata: ""Wahai Tuhanku! Sesungguhnya kaumku telah mendustakan daku"
476	How many favours of your Lord will you then deny	Maka yang mana satu di antara nikmat-nikmat tuhan kamu, yang kamu hendak dustakan
477	"If they do not obey you, tell them: ""I am not responsible for what you do"	"Kemudian jika mereka berlaku ingkar kepadamu, maka katakanlah: ""Sesungguhnya aku berlepas diri dari apa yang kamu lakukan"
478	And given the faculty of knowing what is disruptive and what is intrinsic to it	Serta mengilhamkannya (untuk mengenal) jalan yang membawanya kepada kejahatan, dan yang membawanya kepada bertaqwa
479	"Say: ""Obey God and His Messenger;"" and if they refuse (then remember) God does not love disbelievers"	"Katakanlah (wahai Muhammad): ""Taatlah kamu kepada Allah dan RasulNya. Oleh itu, jika kamu berpaling (menderhaka), maka sesungguhnya Allah tidak suka kepada orang-orang yang kafir"
480	God does not burden a soul beyond what He has given him. God will bring ease after hardship	Orang-orang yang dalam kesempitan hendaklah ingat bahawa) Allah akan memberikan kesenangan sesudah berlakunya kesusahan
481	And wait; they will come to know soon	Dan lihat (apa yang akan menimpa) mereka; tidak lama kemudian mereka akan melihat (kemenangan yang telah Kami tetapkan untukmu
482	So We forgave him. He has surely a high rank with Us and an excellent place of return	Maka Kami ampunkan kesalahannya itu; dan sesungguhnya ia mempunyai kedudukan yang dekat di sisi Kami serta tempat kembali yang sebaik-baiknya (pada hari akhirat kelak
483	"Say: ""God's is the intercession entirely; His is the kingdom of the heavens and the earth; then to Him you will return"	"Katakanlah (wahai Muhammad): ""Syafaat itu semuanya hak kepunyaan Allah; Dia lah Yang Menguasai segala urusan langit dan bumi; kemudian kamu akan dikembalikan kepadaNya (untuk menerima balasan"
484	Fearing that a great disaster is going to befall them	Sambil percaya dengan yakin bahawa mereka akan ditimpa malapetaka (azab seksa) yang membinasakan
485	Allah! There is none worthy of worship except Him; He will surely gather you all on the Day of Resurrection in which there is no doubt; and whose Words are more true than those of Allah	Allah, tiada Tuhan (yang berhak disembah) melainkan Dia. Sesungguhnya Ia akan menghimpunkan kamu pada hari kiamat, (hari) yang tidak ada syak padanya
486	"Said one of the speakers: ""I had a friend"	"Seorang di antaranya berkata: "" Sesungguhnya aku (di dunia) dahulu, ada seorang rakan (yang menempelak daku"
487	God is the giver of life and death and sees all that you do	Dan (ingatlah), Allah yang menghidupkan dan yang mematikan, dan Allah sentiasa melihat akan segala yang kamu lakukan
488	"Tell them: ""I do not ask any recompense of you for this other than (urging) whoever likes may take the way to his Lord"	"Katakanlah: ""Aku tidak meminta kepada kamu sebarang balasan bagi apa yang aku sampaikan kepada kamu, selain daripada berimannya seseorang yang mahu mendapatkan jalan sampainya kepada keredaan Allah"
489	When Our verses are recited before them they turn away haughtily as though they did not hear them, as if a deafness had come into their ears. So give them tidings of a shameful punishment	Dan apabila dibacakan kepadanya ayat-ayat Kami, berpalinglah dia dengan angkuhnya, seoleh-oleh ada penyumbat pada kedua telinganya; maka gembirakanlah dia dengan balasan azab yang tidak terperi sakitnya
490	The worst of creatures in the eyes of God are those who are deaf and dumb and devoid of sense	Sesungguhnya sejahat-jahat makhluk yang melata, pada sisi (hukum dan ketetapan) Allah, ialah orang-orang yang pekak lagi bisu, yang tidak mahu memahami sesuatupun (dengan akal fikirannya
491	They both ate the (same) food (as men). Behold, how We show men clear signs, and behold, how they wander astray	Lihatlah bagaimana kami jelaskan kepada mereka (ahli kitab itu) keterangan-keterangan (yang tegas yang menunjukkan kesesatan mereka), kemudian lihatlah bagaimana mereka dipalingkan (oleh hawa nafsu mereka dari menerima kebenaran yang jelas nyata itu
492	Or have you taken a binding promise from Us which would hold till the Day of Judgement, that you will get whatever you demand	Atau adakah kamu mendapat akuan-akuan yang ditegaskan dengan sumpah dari Kami, yang tetap hingga hari kiamat, menentukan bahawa kamu dapat mencapai apa yang kamu putuskan
493	"It's my staff, he answered; ""I lean on it, and fell leaves for my goats with it, and I have other uses for it"	"Nabi Musa menjawab: ""Ini ialah tongkatku; aku bertekan atasnya semasa, berjalan, dan aku memukul dengannya daun-daun kayu supaya gugur kepada kambing-kambingku, dan ada lagi lain-lain keperluanku pada tongkat itu"
494	"The evil-doers will be told: ""So taste what you earned"	"Dan (pada saat itu) dikatakan kepada orang-orang yang zalim itu: ""Rasalah (balasan) apa yang kamu usahakan dahulu"
495	"Such as these will receive what is declared in the Book, and when Our angels come to draw out their souls and ask: ""Where are they you worshipped other than God"	"Orang-orang itu akan mendapat bahagian mereka (di dunia) dari apa yang telah tersurat (bagi mereka), hingga apabila datang kepada mereka utusan-utusan Kami (malaikat) yang mengambil nyawa mereka, bertanyalah malaikat itu (kepada mereka): ""Manakah (makhluk-makhluk dan benda-benda) yang kamu sembah selain Allah"
496	Except those who repent after this and reform; and God is surely forgiving and kind	Kecuali orang-orang yang bertaubat sesudah itu (dari kesalahannya yang tersebut) serta memperbaiki amalannya, maka sesungguhnya Allah Maha Pengampun, lagi Maha Mengasihani
497	We make their deeds attractive to those who do not believe in the Hereafter, so that they may wander in perplexity	Sesungguhnya orang-orang yang tidak percaya kepada hari akhirat, Kami jadikan perbuatan-perbuatan buruk mereka kelihatan baik kepada mereka; oleh itu, tinggalah mereka meraba-raba dalam kesesatan
498	On the contrary, it is a promise incumbent on Him, though most men do not understand	Itu tidak benar), bahkan janji Allah membangkitkan orang-orang yang telah mati) tetap benar; tetapi kebanyakan manusia tidak mengetahui
499	He is God in the heavens and the earth. He knows what you hide and bring out into the open, and knows what you earn (of good and evil	Dan Dia lah Allah (yang disembah dan diakui kekuasaanNya) di langit dan di bumi; Ia mengetahui apa yang kamu rahsiakan dan apa yang kamu lahirkan, dan Ia juga mengetahui apa yang kamu usahakan
